requestid,boro,yr,m,d,hh,mm,vol,segmentid,wktgeom,street,fromst,tost,direction
15389,Manhattan,2013,7,23,8,15,334,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,8,30,305,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,8,45,369,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,9,0,309,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,9,15,316,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,9,30,311,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,9,45,336,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,10,0,246,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,10,15,251,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,10,30,327,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,10,45,320,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,11,0,307,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,11,15,278,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,11,30,288,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,11,45,307,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,12,0,282,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,12,15,276,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,12,30,278,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,12,45,330,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,13,0,306,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,13,15,271,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,13,30,306,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,13,45,227,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,14,0,268,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,14,15,287,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,14,30,316,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,14,45,285,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,15,0,308,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,15,15,293,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,15,30,295,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,15,45,283,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,16,0,244,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,16,15,266,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,16,30,318,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,16,45,255,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
28843,Queens,2019,1,16,2,15,25,156944,POINT (1027372.4417499899 190443.1589906594),ATLANTIC AVENUE,Dead End,Dead end,EB
28843,Queens,2019,1,16,2,30,26,156944,POINT (1027372.4417499899 190443.1589906594),ATLANTIC AVENUE,Dead End,Dead end,EB
28843,Queens,2019,1,16,2,45,28,156944,POINT (1027372.4417499899 190443.1589906594),ATLANTIC AVENUE,Dead End,Dead end,EB
28843,Queens,2019,1,16,3,0,17,156944,POINT (1027372.4417499899 190443.1589906594),ATLANTIC AVENUE,Dead End,Dead end,EB
28843,Queens,2019,1,16,3,15,25,156944,POINT (1027372.4417499899 190443.1589906594),ATLANTIC AVENUE,Dead End,Dead end,EB
28843,Queens,2019,1,16,3,30,22,156944,POINT (1027372.4417499899 190443.1589906594),ATLANTIC AVENUE,Dead End,Dead end,EB
28843,Queens,2019,1,16,3,45,18,156944,POINT (1027372.4417499899 190443.1589906594),ATLANTIC AVENUE,Dead End,Dead end,EB
